繁忙,1,,以上,1
长,1,,耕耘,1
的,30,,目前,1
与此同时,1,,1.5,1
1.3,1,,抗病,2
累计,3,,功勋,4
万亿斤,1,,9,1
大幅度,1,,田野,1
养分,1,,7,1
生前,1,,西南,1
夏玉米,1,,1239.14,1
”,12,,所,1
一度,1,,日,3
系列,3,,稳定,2
做到,1,,为端,1
其中,2,,亿亩,3
写,1,,袁隆平,7
印度河,1,,1900/3/24  3,1
,15,,一生,2
1900/3/22  12,1,,产量,3
杂交稻,1,,一位,1
扎实,1,,动力,1
规格,1,,下,1
1900/3/24  5,1,,黄淮海,2
达到,1,,致使,1
李,5,,中华民族,1
周年,1,,通过,2
发明,1,,培育出,1
技术,4,,大,2
成功,3,,全球,1
相较,1,,获得者,4
。,27,,安全,1
提高,1,,玉米,10
周卫,1,,解决,2
说起,1,,试种,1
首席,1,,面积,4
是,3,,经过,1
又,1,,岗位,1
偃,3,,连续,1
谷物,1,,成为,2
带领,2,,，,71
奖,1,,问题,2
致力于,1,,超越,1
刷新,2,,高产,3
东北,1,,纪录,2
印尼,1,,课题,1
13,2,,…,8
公斤,10,,夏播,1
一派,1,,让,1
研究员,1,,再,1
李振声,8,,如今,1
多达,1,,改良,1
把,1,,供给,2
亿公斤,2,,攻破,1
地区,2,,南方,1
更加,1,,小,3
我国,10,,向上,1
万公顷,1,,三系法,1
1900/3/2  12,1,,研究,5
精神,1,,带来,1
掖,1,,1900/3/22  21,1
新品种,2,,团队,4
荣誉,1,,保障,1
号,1,,党和国家,1
科学,1,,6,1
一样,1,,第一个,3
华北,1,,1900/1/29  4,2
为,3,,3,1
并,1,,粮食安全,3
1900/1/5  0,1,,10,1
将,1,,开始,1
不断,1,,首创,1
常,1,,几十年,1
对抗,1,,突出贡献,1
种业,1,,“,12
还有,1,,随后,1
杰出贡献,1,,紧凑型,4
种植,8,,突破,2
审定,1,,一次次,1
之,5,,引进,1
父,4,,多年,2
称号,1,,与,3
世界纪录,1,,世界,4
另,1,,1900/3/23  14,1
16,1,,论文,1
耐,1,,愈发,1
颁授,1,,盐碱地,1
科学家,2,,在,14
获得,1,,国家,6
收获,2,,生产量,1
体系,3,,矢志不渝,1
植保,1,,年,8
1900/1/2  12,1,,8,1
模范,3,,难题,1
成立,1,,助力,1
英雄模范,2,,创造,1
而,1,,金,1
闪亮,1,,1900/1/2  22,2
稻谷,2,,多个,1
推广,4,,绝对,1
科技,1,,科研,4
稳,1,,到,4
两个,1,,第一,1
深耕,1,,1096.29,1
籼型,1,,科学技术,1
专家,2,,马铃薯,1
一线,2,,亿公顷,1
上,2,,创建,1
长期,1,,超过,3
坚守,1,,都,1
一份,1,,最高,2
省级,1,,大大提高,1
十八,1,,位,1
覆盖,1,,为伴,1
1900/2/14  20,2,,个,1
基础,1,,法,1
贡献,1,,乘凉,1
远缘,2,,秋粮,1
基本,1,,继续,1
梦,2,,湄公河,1
共和国,2,,免疫力,1
1900/1/3  3,1,,接连,1
农产品,1,,失败,1
翻天覆地,1,,了,5
粮食产量,2,,背后,1
也,2,,他,2
减少,1,,依然,1
激励,1,,苏门答腊岛,1
飘香,1,,前行,2
交付,1,,其他,1
海外,1,,育成,2
勋章,2,,最美,2
坐标,1,,中国,8
来,1,,应用,1
1900/2/2  8,1,,领域,3
全国,1,,杂交,11
喜悦,1,,生产,2
每,1,,1900/1/25  18,1
陈万权,1,,1900/3/23  21,1
和,7,,水稻,11
全国五一劳动奖章,2,,品种,1
以来,1,,过程,1
危机,1,,口粮,1
亩产,7,,巴基斯坦,1
、,18,,达,3
育种,3,,杂交种,2
人,1,,从,3
丰收,1,,粮食,7
平原,1,,疾病,1
们,1,,超级稻,1
牢端,1,,北方,1
黎平,1,,全国三八红旗手,1
于,2,,依旧,1
之前,1,,畔,1
路,1,,良种,3
2.128,1,,变化,1
地上,1,,禾,1
春,1,,蔓延,1
队伍,1,,除了,1
稳健,1,,管理,1
被,2,,无私奉献,1
向,1,,终于,1
就是,1,,月,2
长江中下游地区,1,,前夕,1
新,1,,增产,2
离不开,1,,中国农科院,1
面对,1,,特色,1
越南,1,,发展,1
以,1,,已,1
行业,1,,率领,1
时节,1,,作出,3
奋斗者,2,,小麦,12
1900/2/10  16,2,,—,2
利于,1,,单位,1
一半,1,,饭碗,1
叶子,1,,不懈努力,1
；,4,,决定,1
实验,2,,超级,1
新品,1,,1900/3/21  12,1
20,1,,疯狂,1
领衔,1,,产业,2
现在,1,,密植,1
：,1,,条锈病,1
党,1,,单,1
数十个,1,,出,2
1900/1/1  5,1,,登海,6
景象,1,,一个,2
两系,1,,亿吨,1
1511.74,1,,自给,1
农业,2,,温饱,1
培育,3,,金秋,1
称为,1,,新疆,1
重要,2,,一大批,1
,,,被誉为,1
